"Börsdata ID";"Company";"Stock price - Current";"Info - Price Currency";"Info - Country";"Info - Ticker";"Info - Sector";"Market Cap - Current SEK";"P/E - Current";"Earnings/share - Growth 1y";"PEG - Current";"ROC - Current";"Rel. Perform - Perform. 1y"
"152";"Nederman";"133.00";"SEK";"Sweden";"NMAN";"Industrials";"4674.4";"17.0";"-20.5%";"-0.8";"11.5%";"-45.6%"
"1122";"Nekkar";"13.25";"NOK";"Norway";"NKR";"Industrials";"1466.1";"-39.0";"-141.5%";;"-10.1%";"6.4%"
"1086";"NEL";"2.26";"NOK";"Norway";"NEL";"Utilities";"4279.6";"-3.3";"-346.4%";;"-53.0%";"-39.5%"
"48";"Nelly Group";"52.90";"SEK";"Sweden";"NELLY";"Consumer Durables";"1615.7";"9.4";"102.2%";"0.1";"39.9%";"50.1%"
"2503";"Neobo Fastigheter";"18.52";"SEK";"Sweden";"NEOBO";"Financials";"2692.8";"16.9";"32.2%";"0.5";"1.5%";"9.9%"
"1975";"Neola Medical";"0.77";"SEK";"Sweden";"NEOLA";"Health Care";"60.0";"-5.4";"1.5%";;"-18.6%";"-81.2%"
"2542";"Neovici Holding B";"4.20";"SEK";"Sweden";"NEO B";"Technology";"210.1";"-14.6";"58.8%";;"-13.1%";"-52.5%"
"1081";"Nepa";"18.05";"SEK";"Sweden";"NEPA";"Technology";"141.9";"-4.2";"-1532.5%";;"-151.2%";"-29.2%"
"685";"Neste";"29.70";"EUR";"Finland";"NESTE";"Energy";"255870.4";"158.3";"251.5%";"0.6";"4.5%";"196.2%"
"154";"Net Insight";"2.27";"SEK";"Sweden";"NETI B";"Technology";"775.0";"-113.5";"-109.5%";;"-0.3%";"-60.2%"
"1702";"Netcompany Group";"323.80";"DKK";"Denmark";"NETC";"Technology";"23224.6";"59.1";"-43.5%";"-1.4";"9.7%";"8.4%"
"2281";"Netel Holding";"3.91";"SEK";"Sweden";"NETEL";"Telecom";"189.9";"-2.1";"-93.3%";;"-0.7%";"-76.7%"
"2177";"Netum";"1.10";"EUR";"Finland";"NETUM";"Technology";"157.5";"16.4";"269.9%";"0.1";"7.1%";"-63.6%"
"323";"New Nordic Healthbrands";"18.00";"SEK";"Sweden";"NNH";"Food and Beverage";"111.5";"13.6";"206.5%";"0.1";"17.0%";"20.3%"
"155";"New Wave";"90.55";"SEK";"Sweden";"NEWA B";"Consumer Durables";"12014.8";"15.3";"-11.0%";"-1.4";"11.6%";"-22.5%"
"2361";"Newbury Pharmaceuticals";"0.96";"SEK";"Sweden";"NEWBRY";"Health Care";"29.2";"-1.1";"-24.5%";;"-75.4%";"-79.6%"
"1266";"NewCap Holding";"0.12";"DKK";"Denmark";"NEWCAP";"Financials";"88.8";"-8.3";"-184.6%";;;"10.7%"
"371";"Nexam Chemical";"3.15";"SEK";"Sweden";"NEXAM";"Materials";"323.4";"-15.4";"-70.3%";;"-7.6%";"-9.3%"
"1468";"Nexar Group";"0.13";"SEK";"Sweden";"NXAR";"Consumer Durables";"10.4";"-2.2";"48.1%";;"-254.4%";"-89.5%"
"2069";"Nexcom";"1.90";"DKK";"Denmark";"NEXCOM";"Technology";"71.6";"-2.9";"21.0%";;"-1807.9%";"-67.9%"
"992";"Nexstim";"8.66";"EUR";"Finland";"NXTMH";"Health Care";"699.6";"108.9";"163.8%";"0.7";"13.8%";"-5.7%"
"973";"NEXT Biometrics";"0.60";"NOK";"Norway";"NEXT";"Technology";"74.6";"-0.9";"-91.7%";;"-450.4%";"-98.1%"
"1483";"NextCell Pharma";"1.21";"SEK";"Sweden";"NXTCL";"Health Care";"135.0";"-3.8";"45.0%";;"-110.1%";"-70.0%"
"558";"NFO Drives";"8.95";"SEK";"Sweden";"NFO";"Industrials";"27.4";"-4.6";"-9.3%";;"-91.0%";"-71.0%"
"540";"NGS Group";"2.33";"SEK";"Sweden";"NGS";"Industrials";"57.8";"-1.9";"57.1%";;"-46.9%";"-33.2%"
"156";"NIBE Industrier";"32.86";"SEK";"Sweden";"NIBE B";"Industrials";"66247.9";"29.1";"94.8%";"0.3";"8.9%";"-36.3%"
"415";"Nicoccino";"1.10";"SEK";"Sweden";"NICO";"Food and Beverage";"33.9";"-3.3";"-19.6%";;"-122.4%";"-37.8%"
"1857";"Nidaros Sparebank";"108.00";"NOK";"Norway";"NISB";"Financials";"125.6";"13.5";"8.8%";"1.5";"1.0%";"-15.2%"
"548";"Nidhogg Resources";"0.90";"SEK";"Sweden";"NIDHOG";"Energy";"9.3";"-2.6";"34.1%";;"-317.3%";"-94.5%"
"2102";"Nightingale Health";"1.36";"EUR";"Finland";"HEALTH";"Health Care";"929.6";"-4.3";"-6.3%";;"-72.4%";"-72.0%"
"1541";"Nilfisk";"139.80";"DKK";"Denmark";"NLFSK";"Industrials";"5726.2";"-13.8";"-203.7%";;"-8.1%";"38.4%"
"925";"Nilsson Special Vehicles";"3.00";"SEK";"Sweden";"NILS";"Consumer Durables";"14.1";"6.4";"143.9%";"0.0";"7.6%";"-10.0%"
"758";"Nilörngruppen";"49.70";"SEK";"Sweden";"NIL B";"Materials";"566.7";"11.2";"-14.3%";"-0.8";"28.1%";"-32.1%"
"2075";"Nimbus";"12.40";"SEK";"Sweden";"BOAT";"Consumer Durables";"528.6";"-3.2";"-36.5%";;"-7.9%";"-34.9%"
"1479";"Nitro Games";"1.40";"SEK";"Sweden";"NITRO";"Consumer Durables";"35.0";"23.6";"-71.2%";"-0.3";"5.9%";"-27.2%"
"2312";"Niutech Group";"0.19";"SEK";"Sweden";"NIUTEC";"Utilities";"36.3";"-0.2";"69.4%";;"-159.2%";"-81.3%"
"2326";"Nivika Fastigheter";"40.10";"SEK";"Sweden";"NIVI B";"Financials";"3845.0";"18.9";"25.8%";"0.7";"1.9%";"-8.6%"
"1196";"NKT Holding";"782.00";"DKK";"Denmark";"NKT";"Industrials";"63433.7";"21.3";"-19.0%";"-1.1";"10.7%";"41.3%"
"1197";"NNIT";"44.70";"DKK";"Denmark";"NNIT";"Technology";"1687.4";"-46.1";"-3333.3%";;"1.3%";"-48.7%"
"2590";"NOBA Bank";"81.30";"SEK";"Sweden";"NOBA";"Financials";"40650.0";"11.9";"70.7%";"0.2";"2.8%";
"157";"Nobia";"2.07";"SEK";"Sweden";"NOBI";"Consumer Durables";"3138.8";"-2.2";"46.9%";;"-3.7%";"-56.0%"
"2486";"Nodebis Applications";"25.20";"SEK";"Sweden";"NODE";"Technology";"230.6";"52.5";"37.1%";"1.4";"6.3%";"70.4%"
"839";"NoHo Partners";"7.36";"EUR";"Finland";"NOHO";"Consumer Durables";"1734.7";"16.1";"-15.5%";"-1.0";"8.2%";"-32.0%"
"249";"Nokia";"76.54";"SEK";"Sweden";"NOKIA SEK";"Technology";"439511.1";"64.3";"-64.5%";"-1.0";"4.0%";"31.5%"
"686";"Nokia";"7.10";"EUR";"Finland";"NOKIA";"Technology";"456622.9";"64.5";"-64.5%";"-1.0";"4.0%";"34.0%"
"2577";"Nokian Panimo";"2.47";"EUR";"Finland";"BEER";"Consumer Durables";"279.8";;;;;
"687";"Nokian Renkaat";"9.19";"EUR";"Finland";"TYRES";"Consumer Durables";"14306.7";"-85.1";"36.5%";;"2.1%";"28.5%"
"158";"Nolato";"48.00";"SEK";"Sweden";"NOLA B";"Materials";"12930.3";"16.7";"17.9%";"0.9";"15.4%";"-28.2%"
"2442";"Noram Drilling";"44.50";"NOK";"Norway";"NORAM";"Industrials";"1985.5";"32.7";"-50.1%";"-0.7";"14.8%";"32.1%"
"1858";"Norbit";"198.80";"NOK";"Norway";"NORBT";"Industrials";"13094.5";"31.4";"60.9%";"0.5";"33.0%";"50.2%"
"2004";"Norcod";"10.15";"NOK";"Norway";"NCOD";"Food and Beverage";"735.7";"-3.1";"39.4%";;"-58.4%";"-20.1%"
"2518";"Norconsult";"40.15";"NOK";"Norway";"NORCO";"Industrials";"13132.0";"18.8";"23.8%";"0.8";"19.4%";"-18.3%"
